标的代码,标的名称,跟踪指数
560570.SH,A500红利ETF国联安,932422.CSI
159141.SZ,科创创业人工智能ETF永赢,932456.CSI
588170.SH,科创半导体ETF华夏,950125.CSI
589720.SH,科创创新药ETF国泰,950161.CSI
588780.SH,科创芯片设计ETF国联安,950162.CSI
588790.SH,科创AIETF博时,950180.CSI
159363.SZ,创业板人工智能ETF华宝,970070.CNI
159995.SZ,芯片ETF华夏,980017.CNI
159206.SZ,卫星ETF永赢,980018.CNI
159530.SZ,机器人ETF易方达,980022.CNI
159566.SZ,储能电池ETF易方达,980027.CNI
159732.SZ,消费电子ETF华夏,980030.CNI
159755.SZ,电池ETF广发,980032.CNI
159378.SZ,通用航空ETF永赢,980076.CNI
159259.SZ,成长ETF易方达,980080.CNI
159263.SZ,价值ETF易方达,980081.CNI
159201.SZ,自由现金流ETF华夏,980092.CNI
512760.SH,芯片ETF国泰,990001.CSI
159227.SZ,航空航天ETF华夏,CN5082.CNI
562060.SH,标普A股红利ETF华宝,CSPSADRP.CI
159731.SZ,石化ETF华夏,H11057.CSI
560860.SH,工业有色ETF万家,H11059.CSI
159599.SZ,芯片ETF东财,H30007.CSI
159887.SZ,银行ETF富国,H30022.CSI
512070.SH,证券保险ETF易方达,H30035.CSI
512480.SH,半导体ETF国联安,H30184.CSI
561360.SH,石油ETF国泰,H30198.CSI
159611.SZ,电力ETF广发,H30199.CSI
515230.SH,软件ETF国泰,H30202.CSI
159883.SZ,医疗器械ETF永赢,H30217.CSI
512890.SH,红利低波ETF华泰柏瑞,H30269.CSI
512220.SH,TMTETF景顺,H30318.CSI
562500.SH,机器人ETF华夏,H30590.CSI
515450.SH,红利低波50ETF南方,SPCLLHCP.SPI
