日期,成分股代码,成分股名称,权重(%)
2026-06-30,603986.SH,兆易创新,7.86100000
2026-06-30,688256.SH,寒武纪,7.23900000
2026-06-30,002371.SZ,北方华创,5.53100000
2026-06-30,688008.SH,澜起科技,5.13100000
2026-06-30,688012.SH,中微公司,5.07200000
2026-06-30,688041.SH,海光信息,4.97200000
2026-06-30,688981.SH,中芯国际,4.67300000
2026-06-30,688525.SH,佰维存储,2.69600000
2026-06-30,688072.SH,拓荆科技,2.37800000
2026-06-30,688521.SH,芯原股份,2.25500000
2026-06-30,300604.SZ,长川科技,2.19000000
2026-06-30,001309.SZ,德明利,2.16200000
2026-06-30,600584.SH,长电科技,2.14100000
2026-06-30,688347.SH,华虹宏力,1.98100000
2026-06-30,688120.SH,华海清科,1.84200000
2026-06-30,688361.SH,中科飞测,1.52200000
2026-06-30,300223.SZ,北京君正,1.39100000
2026-06-30,002156.SZ,通富微电,1.33000000
2026-06-30,603501.SH,豪威集团,1.16100000
2026-06-30,688766.SH,普冉股份,1.14700000
2026-06-30,300666.SZ,江丰电子,1.13000000
2026-06-30,688200.SH,华峰测控,1.06500000
2026-06-30,688037.SH,芯源微,1.02300000
2026-06-30,688126.SH,沪硅产业,0.95200000
2026-06-30,002409.SZ,雅克科技,0.92600000
2026-06-30,300346.SZ,南大光电,0.92500000
2026-06-30,600460.SH,士兰微,0.92000000
2026-06-30,688110.SH,东芯股份,0.91100000
2026-06-30,688082.SH,盛美上海,0.90300000
2026-06-30,300661.SZ,圣邦股份,0.90000000
2026-06-30,688019.SH,安集科技,0.89200000
2026-06-30,002049.SZ,紫光国微,0.87100000
2026-06-30,002185.SZ,华天科技,0.85700000
2026-06-30,688249.SH,晶合集成,0.85600000
2026-06-30,688002.SH,睿创微纳,0.84000000
2026-06-30,688409.SH,富创精密,0.81300000
2026-06-30,688146.SH,中船特气,0.80300000
2026-06-30,688469.SH,芯联集成,0.77100000
2026-06-30,688396.SH,华润微,0.74900000
2026-06-30,300373.SZ,扬杰科技,0.74000000
2026-06-30,688702.SH,盛科通信,0.69300000
2026-06-30,688172.SH,燕东微,0.69000000
2026-06-30,605358.SH,立昂微,0.66400000
2026-06-30,300672.SZ,国科微,0.64800000
2026-06-30,688099.SH,晶晨股份,0.62900000
2026-06-30,688141.SH,杰华特,0.59900000
2026-06-30,603893.SH,瑞芯微,0.57300000
2026-06-30,600206.SH,有研新材,0.57000000
2026-06-30,300782.SZ,卓胜微,0.54600000
2026-06-30,688234.SH,天岳先进,0.53800000
2026-06-30,688536.SH,思瑞浦,0.50800000
2026-06-30,603005.SH,晶方科技,0.50700000
2026-06-30,605111.SH,新洁能,0.47600000
2026-06-30,688052.SH,纳芯微,0.47500000
2026-06-30,301611.SZ,珂玛科技,0.45400000
2026-06-30,688220.SH,翱捷科技,0.45100000
2026-06-30,688047.SH,龙芯中科,0.44800000
2026-06-30,688213.SH,思特威,0.43500000
2026-06-30,300236.SZ,上海新阳,0.41700000
2026-06-30,300458.SZ,全志科技,0.39600000
2026-06-30,688123.SH,聚辰股份,0.39000000
2026-06-30,688385.SH,复旦微电,0.38900000
2026-06-30,301269.SZ,华大九天,0.37600000
2026-06-30,300456.SZ,赛微电子,0.35900000
2026-06-30,300655.SZ,晶瑞电材,0.34900000
2026-06-30,300623.SZ,捷捷微电,0.32400000
2026-06-30,300474.SZ,景嘉微,0.32000000
2026-06-30,688728.SH,格科微,0.31600000
2026-06-30,301536.SZ,星宸科技,0.31400000
2026-06-30,688652.SH,京仪装备,0.29100000
2026-06-30,688608.SH,恒玄科技,0.28500000
2026-06-30,603290.SH,斯达半导,0.26400000
2026-06-30,600171.SH,上海贝岭,0.26200000
2026-06-30,688018.SH,乐鑫科技,0.26000000
2026-06-30,603160.SH,汇顶科技,0.24900000
2026-06-30,688484.SH,南芯科技,0.24400000
2026-06-30,688449.SH,联芸科技,0.22900000
2026-06-30,688432.SH,有研硅,0.21700000
2026-06-30,688582.SH,芯动联科,0.18900000
2026-06-30,600877.SH,电科芯片,0.17600000
2026-06-30,688206.SH,概伦电子,0.16800000
2026-06-30,688352.SH,颀中科技,0.16600000
2026-06-30,688332.SH,中科蓝讯,0.16200000
2026-06-30,688279.SH,峰岹科技,0.15200000
2026-06-30,688798.SH,艾为电子,0.12300000
2026-06-30,688709.SH,成都华微,0.10500000
2026-06-30,688153.SH,唯捷创芯,0.08000000
