日期,成分股代码,成分股名称,权重(%)
2026-06-30,300033.SZ,同花顺,4.46800000
2026-06-30,603444.SH,吉比特,4.28300000
2026-06-30,002415.SZ,海康威视,4.02600000
2026-06-30,605117.SH,德业股份,3.86800000
2026-06-30,002558.SZ,巨人网络,3.86600000
2026-06-30,688578.SH,艾力斯,3.68800000
2026-06-30,600211.SH,西藏药业,3.50600000
2026-06-30,000423.SZ,东阿阿胶,3.36600000
2026-06-30,300841.SZ,康华生物,3.01000000
2026-06-30,688111.SH,金山办公,2.80400000
2026-06-30,001337.SZ,四川黄金,2.79900000
2026-06-30,601869.SH,长飞光纤,2.78800000
2026-06-30,600989.SH,宝丰能源,2.67200000
2026-06-30,688127.SH,蓝特光学,2.65500000
2026-06-30,002847.SZ,盐津铺子,2.54000000
2026-06-30,002648.SZ,卫星化学,2.53600000
2026-06-30,000933.SZ,神火股份,2.51800000
2026-06-30,300373.SZ,扬杰科技,2.45200000
2026-06-30,002039.SZ,黔源电力,2.38200000
2026-06-30,300957.SZ,贝泰妮,2.37400000
2026-06-30,002128.SZ,电投能源,2.31800000
2026-06-30,600900.SH,长江电力,2.31300000
2026-06-30,301345.SZ,涛涛车业,2.25100000
2026-06-30,600938.SH,中国海油,2.24500000
2026-06-30,688188.SH,柏楚电子,2.23900000
2026-06-30,001316.SZ,润贝航科,2.03100000
2026-06-30,600323.SH,瀚蓝环境,1.90800000
2026-06-30,002832.SZ,比音勒芬,1.89700000
2026-06-30,600012.SH,皖通高速,1.73800000
2026-06-30,300558.SZ,贝达药业,1.65500000
2026-06-30,603699.SH,纽威股份,1.56700000
2026-06-30,600887.SH,伊利股份,1.53800000
2026-06-30,002901.SZ,大博医疗,1.45200000
2026-06-30,603893.SH,瑞芯微,1.33800000
2026-06-30,000975.SZ,山金国际,1.29900000
2026-06-30,300573.SZ,兴齐眼药,1.15200000
2026-06-30,002532.SZ,天山铝业,1.07500000
2026-06-30,688025.SH,杰普特,1.04400000
2026-06-30,603233.SH,大参林,1.03300000
2026-06-30,300693.SZ,盛弘股份,1.00100000
2026-06-30,603195.SH,公牛集团,0.84000000
2026-06-30,000651.SZ,格力电器,0.68700000
2026-06-30,002916.SZ,深南电路,0.67200000
2026-06-30,603345.SH,安井食品,0.56500000
2026-06-30,600309.SH,万华化学,0.45600000
2026-06-30,300760.SZ,迈瑞医疗,0.36900000
2026-06-30,603939.SH,益丰药房,0.27200000
2026-06-30,300770.SZ,新媒股份,0.22200000
2026-06-30,000513.SZ,丽珠集团,0.15000000
2026-06-30,600535.SH,天士力,0.07300000
