日期,成分股代码,成分股名称,权重(%)
2026-06-30,300274.SZ,阳光电源,10.26700000
2026-06-30,300750.SZ,宁德时代,9.47700000
2026-06-30,300014.SZ,亿纬锂能,5.85200000
2026-06-30,002050.SZ,三花智控,5.80500000
2026-06-30,002709.SZ,天赐材料,4.34100000
2026-06-30,002407.SZ,多氟多,3.53700000
2026-06-30,300390.SZ,天华新能,3.21700000
2026-06-30,605117.SH,德业股份,3.19900000
2026-06-30,300037.SZ,新宙邦,2.89900000
2026-06-30,301511.SZ,德福科技,2.68200000
2026-06-30,300450.SZ,先导智能,2.64100000
2026-06-30,002126.SZ,银轮股份,2.49500000
2026-06-30,002812.SZ,恩捷股份,2.33200000
2026-06-30,301358.SZ,湖南裕能,2.27100000
2026-06-30,002850.SZ,科达利,2.17000000
2026-06-30,002340.SZ,格林美,1.99500000
2026-06-30,002245.SZ,蔚蓝锂芯,1.89000000
2026-06-30,688411.SH,海博思创,1.88600000
2026-06-30,603659.SH,璞泰来,1.82800000
2026-06-30,002074.SZ,国轩高科,1.76300000
2026-06-30,300438.SZ,鹏辉能源,1.72700000
2026-06-30,300207.SZ,欣旺达,1.66000000
2026-06-30,300001.SZ,特锐德,1.65300000
2026-06-30,300568.SZ,星源材质,1.49000000
2026-06-30,002335.SZ,科华数据,1.31400000
2026-06-30,300763.SZ,锦浪科技,1.27600000
2026-06-30,300073.SZ,当升科技,1.23700000
2026-06-30,300432.SZ,富临精工,1.21900000
2026-06-30,300919.SZ,中伟新材,1.21400000
2026-06-30,300953.SZ,震裕科技,1.15600000
2026-06-30,688390.SH,固德威,1.09200000
2026-06-30,688472.SH,阿特斯,0.93300000
2026-06-30,300409.SZ,道氏技术,0.92200000
2026-06-30,688772.SH,珠海冠宇,0.92000000
2026-06-30,688005.SH,容百科技,0.90600000
2026-06-30,001301.SZ,尚太科技,0.86600000
2026-06-30,688116.SH,天奈科技,0.82800000
2026-06-30,002518.SZ,科士达,0.73800000
2026-06-30,600995.SH,南网储能,0.69800000
2026-06-30,688248.SH,南网科技,0.69300000
2026-06-30,000009.SZ,中国宝安,0.66500000
2026-06-30,688778.SH,厦钨新能,0.65000000
2026-06-30,000973.SZ,佛塑科技,0.62600000
2026-06-30,300827.SZ,上能电气,0.60800000
2026-06-30,688006.SH,杭可科技,0.52200000
2026-06-30,920185.BJ,贝特瑞,0.50300000
2026-06-30,300457.SZ,赢合科技,0.48300000
2026-06-30,688567.SH,孚能科技,0.45500000
2026-06-30,301656.SZ,联合动力,0.22100000
2026-06-30,688819.SH,天能股份,0.17900000
