日期,成分股代码,成分股名称,权重(%)
2026-06-30,000998.SZ,隆平高科,8.02270000
2026-06-30,600598.SH,北大荒,6.77090000
2026-06-30,002215.SZ,诺普信,5.33190000
2026-06-30,600108.SH,亚盛集团,4.06130000
2026-06-30,600141.SH,兴发集团,4.02270000
2026-06-30,300189.SZ,神农种业,3.55740000
2026-06-30,000792.SZ,盐湖股份,3.48450000
2026-06-30,600096.SH,云天化,3.41020000
2026-06-30,600313.SH,农发种业,3.34620000
2026-06-30,002311.SZ,海大集团,3.28080000
2026-06-30,601952.SH,苏垦农发,3.25220000
2026-06-30,000408.SZ,藏格矿业,3.07980000
2026-06-30,002041.SZ,登海种业,2.67670000
2026-06-30,300087.SZ,ST荃银,2.66860000
2026-06-30,002772.SZ,众兴菌业,2.56450000
2026-06-30,300511.SZ,雪榕生物,2.53560000
2026-06-30,603336.SH,宏辉果蔬,2.49800000
2026-06-30,000893.SZ,亚钾国际,2.38720000
2026-06-30,000713.SZ,国投丰乐,2.22240000
2026-06-30,603345.SH,安井食品,1.88290000
2026-06-30,600354.SH,敦煌种业,1.77320000
2026-06-30,300970.SZ,华绿生物,1.75980000
2026-06-30,600596.SH,新安股份,1.60680000
2026-06-30,600873.SH,梅花生物,1.47320000
2026-06-30,603077.SH,和邦生物,1.46880000
2026-06-30,600737.SH,中粮糖业,1.38700000
2026-06-30,000876.SZ,新希望,1.36610000
2026-06-30,300999.SZ,金龙鱼,1.34730000
2026-06-30,600486.SH,扬农化工,1.27810000
2026-06-30,600359.SH,新农开发,1.20490000
2026-06-30,000422.SZ,湖北宜化,1.09070000
2026-06-30,002312.SZ,川发龙蟒,1.01680000
2026-06-30,002895.SZ,川恒股份,0.98910000
2026-06-30,002385.SZ,大北农,0.98890000
2026-06-30,002539.SZ,云图控股,0.91890000
2026-06-30,600371.SH,万向德农,0.90750000
2026-06-30,002545.SZ,东方铁塔,0.88220000
2026-06-30,002507.SZ,涪陵榨菜,0.85360000
2026-06-30,920403.BJ,康农种业,0.80000000
2026-06-30,920087.BJ,秋乐种业,0.70700000
2026-06-30,000902.SZ,新洋丰,0.67700000
2026-06-30,600113.SH,浙江东日,0.66420000
2026-06-30,002258.SZ,利尔化学,0.64160000
2026-06-30,002004.SZ,华邦健康,0.59930000
2026-06-30,301035.SZ,润丰股份,0.58620000
2026-06-30,603599.SH,广信股份,0.54330000
2026-06-30,600057.SH,厦门象屿,0.53030000
2026-06-30,000061.SZ,农产品,0.42370000
2026-06-30,000930.SZ,中粮科技,0.37250000
2026-06-30,301665.SZ,泰禾股份,0.08560000
