日期,成分股代码,成分股名称,权重(%)
2026-06-30,603986.SH,兆易创新,9.98400000
2026-06-30,300502.SZ,新易盛,9.97300000
2026-06-30,300308.SZ,中际旭创,9.34300000
2026-06-30,002475.SZ,立讯精密,6.58600000
2026-06-30,002384.SZ,东山精密,6.17000000
2026-06-30,601138.SH,工业富联,5.25300000
2026-06-30,600183.SH,生益科技,4.63600000
2026-06-30,600487.SH,亨通光电,3.95700000
2026-06-30,002463.SZ,沪电股份,3.77600000
2026-06-30,300394.SZ,天孚通信,3.63400000
2026-06-30,688498.SH,源杰科技,3.44600000
2026-06-30,000988.SZ,华工科技,3.40500000
2026-06-30,002916.SZ,深南电路,2.28900000
2026-06-30,002281.SZ,光迅科技,2.28100000
2026-06-30,000063.SZ,中兴通讯,2.13900000
2026-06-30,300136.SZ,信维通信,2.11600000
2026-06-30,600703.SH,三安光电,1.35900000
2026-06-30,002938.SZ,鹏鼎控股,1.34400000
2026-06-30,603083.SH,剑桥科技,1.28800000
2026-06-30,000938.SZ,紫光股份,1.21100000
2026-06-30,300548.SZ,长芯博创,1.20200000
2026-06-30,002600.SZ,领益智造,1.16200000
2026-06-30,600498.SH,烽火通信,1.10000000
2026-06-30,002179.SZ,中航光电,1.07700000
2026-06-30,300620.SZ,光库科技,1.03700000
2026-06-30,002241.SZ,歌尔股份,1.02700000
2026-06-30,300570.SZ,太辰光,0.71900000
2026-06-30,300782.SZ,卓胜微,0.69300000
2026-06-30,603228.SH,景旺电子,0.65400000
2026-06-30,003031.SZ,中瓷电子,0.59700000
2026-06-30,300017.SZ,网宿科技,0.59600000
2026-06-30,688387.SH,信科移动,0.49800000
2026-06-30,002465.SZ,海格通信,0.46500000
2026-06-30,002920.SZ,德赛西威,0.44600000
2026-06-30,688205.SH,德科立,0.42600000
2026-06-30,601231.SH,环旭电子,0.42600000
2026-06-30,300496.SZ,中科创达,0.41900000
2026-06-30,301205.SZ,联特科技,0.39900000
2026-06-30,688375.SH,国博电子,0.34200000
2026-06-30,300383.SZ,光环新网,0.32800000
2026-06-30,300679.SZ,电连技术,0.32700000
2026-06-30,002405.SZ,四维图新,0.28100000
2026-06-30,603236.SH,移远通信,0.26500000
2026-06-30,600845.SH,宝信软件,0.26200000
2026-06-30,603881.SH,数据港,0.23700000
2026-06-30,002815.SZ,崇达技术,0.22500000
2026-06-30,300413.SZ,芒果超媒,0.20100000
2026-06-30,002544.SZ,普天科技,0.15900000
2026-06-30,300638.SZ,广和通,0.15600000
2026-06-30,688100.SH,威胜信息,0.08300000
