日期,成分股代码,成分股名称,权重(%)
2026-06-30,603019.SH,中科曙光,12.91500000
2026-06-30,002230.SZ,科大讯飞,7.52400000
2026-06-30,000977.SZ,浪潮信息,6.89900000
2026-06-30,300442.SZ,润泽科技,6.53600000
2026-06-30,000938.SZ,紫光股份,6.33100000
2026-06-30,000066.SZ,中国长城,3.53500000
2026-06-30,301396.SZ,宏景科技,3.41700000
2026-06-30,002261.SZ,拓维信息,3.38300000
2026-06-30,300017.SZ,网宿科技,3.11300000
2026-06-30,600570.SH,恒生电子,3.07800000
2026-06-30,300454.SZ,深信服,2.38800000
2026-06-30,002335.SZ,科华数据,2.12900000
2026-06-30,688343.SH,云天励飞,1.97100000
2026-06-30,600588.SH,用友网络,1.80400000
2026-06-30,300383.SZ,光环新网,1.71500000
2026-06-30,688568.SH,中科星图,1.60600000
2026-06-30,300166.SZ,东方国信,1.54700000
2026-06-30,002065.SZ,东华软件,1.53600000
2026-06-30,300738.SZ,奥飞数据,1.52800000
2026-06-30,600536.SH,中国软件,1.51100000
2026-06-30,300002.SZ,神州泰岳,1.47300000
2026-06-30,002405.SZ,四维图新,1.47100000
2026-06-30,301171.SZ,易点天下,1.41000000
2026-06-30,600845.SH,宝信软件,1.36900000
2026-06-30,688158.SH,优刻得,1.29900000
2026-06-30,002410.SZ,广联达,1.29200000
2026-06-30,603881.SH,数据港,1.24000000
2026-06-30,300353.SZ,东土科技,1.22500000
2026-06-30,300277.SZ,汽轮科技,1.09300000
2026-06-30,600602.SH,云赛智联,0.99400000
2026-06-30,688031.SH,星环科技,0.93600000
2026-06-30,300229.SZ,拓尔思,0.92600000
2026-06-30,002439.SZ,启明星辰,0.88200000
2026-06-30,600131.SH,国网信通,0.83900000
2026-06-30,002373.SZ,千方科技,0.76100000
2026-06-30,300378.SZ,鼎捷数智,0.75200000
2026-06-30,600850.SH,电科数字,0.68400000
2026-06-30,002212.SZ,天融信,0.67600000
2026-06-30,000555.SZ,神州信息,0.67500000
2026-06-30,688561.SH,奇安信,0.62700000
2026-06-30,002368.SZ,太极股份,0.58500000
2026-06-30,002153.SZ,石基信息,0.56800000
2026-06-30,603887.SH,城地香江,0.53900000
2026-06-30,600556.SH,天下秀,0.53600000
2026-06-30,920808.BJ,曙光数创,0.49300000
2026-06-30,300075.SZ,数字政通,0.48700000
2026-06-30,603171.SH,税友股份,0.46600000
2026-06-30,300188.SZ,国投智能,0.46200000
2026-06-30,300525.SZ,博思软件,0.43300000
2026-06-30,300768.SZ,迪普科技,0.34000000
