日期,成分股代码,成分股名称,权重(%)
2026-06-30,002179.SZ,中航光电,9.54000000
2026-06-30,600879.SH,航天电子,9.13400000
2026-06-30,600893.SH,航发动力,8.30600000
2026-06-30,600118.SH,中国卫星,7.88500000
2026-06-30,600760.SH,中航沈飞,7.57600000
2026-06-30,688122.SH,西部超导,4.64300000
2026-06-30,000768.SZ,中航西飞,4.62800000
2026-06-30,600372.SH,中航机载,4.26700000
2026-06-30,002414.SZ,高德红外,3.68200000
2026-06-30,000733.SZ,振华科技,3.57100000
2026-06-30,002025.SZ,航天电器,3.38500000
2026-06-30,000519.SZ,中兵红箭,2.86100000
2026-06-30,302132.SZ,中航成飞,2.78600000
2026-06-30,600862.SH,中航高科,2.44900000
2026-06-30,600765.SH,中航重机,2.28200000
2026-06-30,688297.SH,中无人机,2.27900000
2026-06-30,000738.SZ,航发控制,1.95500000
2026-06-30,600316.SH,洪都航空,1.95400000
2026-06-30,600435.SH,北方导航,1.92700000
2026-06-30,600562.SH,国睿科技,1.71300000
2026-06-30,600685.SH,中船防务,1.69800000
2026-06-30,600038.SH,中直股份,1.68500000
2026-06-30,600416.SH,湘电股份,1.64600000
2026-06-30,600184.SH,光电股份,1.51600000
2026-06-30,600967.SH,内蒙一机,1.50100000
2026-06-30,600391.SH,航发科技,1.25600000
2026-06-30,688563.SH,航材股份,1.12400000
2026-06-30,600590.SH,泰豪科技,0.98000000
2026-06-30,688543.SH,国科军工,0.96400000
2026-06-30,600764.SH,中国海防,0.80500000
