日期,成分股代码,成分股名称,权重(%)
2026-06-30,000651.SZ,格力电器,3.89500000
2026-06-30,600177.SH,雅戈尔,3.88400000
2026-06-30,000001.SZ,平安银行,3.12900000
2026-06-30,601166.SH,兴业银行,3.07200000
2026-06-30,601328.SH,交通银行,2.90100000
2026-06-30,600036.SH,招商银行,2.88800000
2026-06-30,601658.SH,邮储银行,2.75900000
2026-06-30,601398.SH,工商银行,2.75800000
2026-06-30,000333.SZ,美的集团,2.75600000
2026-06-30,601000.SH,唐山港,2.73500000
2026-06-30,601988.SH,中国银行,2.63700000
2026-06-30,601668.SH,中国建筑,2.61200000
2026-06-30,601006.SH,大秦铁路,2.45600000
2026-06-30,600064.SH,南京高科,2.40300000
2026-06-30,001965.SZ,招商公路,2.34200000
2026-06-30,600941.SH,中国移动,2.28300000
2026-06-30,000423.SZ,东阿阿胶,2.25300000
2026-06-30,600019.SH,宝钢股份,2.25000000
2026-06-30,600690.SH,海尔智家,2.20700000
2026-06-30,600008.SH,首创环保,2.19400000
2026-06-30,600795.SH,国电电力,2.11200000
2026-06-30,600998.SH,九州通,2.06700000
2026-06-30,601186.SH,中国铁建,2.06400000
2026-06-30,600886.SH,国投电力,1.95900000
2026-06-30,601728.SH,中国电信,1.93600000
2026-06-30,600900.SH,长江电力,1.92000000
2026-06-30,600018.SH,上港集团,1.86200000
2026-06-30,688009.SH,中国通号,1.67700000
2026-06-30,000999.SZ,华润三九,1.66700000
2026-06-30,601766.SH,中国中车,1.66600000
2026-06-30,000538.SZ,云南白药,1.63300000
2026-06-30,601018.SH,宁波港,1.60500000
2026-06-30,600050.SH,中国联通,1.57900000
2026-06-30,002007.SZ,华兰生物,1.57800000
2026-06-30,600519.SH,贵州茅台,1.57500000
2026-06-30,600332.SH,白云山,1.55400000
2026-06-30,601800.SH,中国交建,1.55000000
2026-06-30,600674.SH,川投能源,1.53200000
2026-06-30,600511.SH,国药股份,1.46500000
2026-06-30,600535.SH,天士力,1.42200000
2026-06-30,003816.SZ,中国广核,1.28600000
2026-06-30,601607.SH,上海医药,1.23400000
2026-06-30,603288.SH,海天味业,1.23100000
2026-06-30,601985.SH,中国核电,1.20000000
2026-06-30,601816.SH,京沪高铁,1.19400000
2026-06-30,600529.SH,山东药玻,1.14600000
2026-06-30,000625.SZ,长安汽车,1.03800000
2026-06-30,002352.SZ,顺丰控股,0.96800000
2026-06-30,600004.SH,白云机场,0.95300000
2026-06-30,600085.SH,同仁堂,0.91300000
