日期,成分股代码,成分股名称,权重(%)
2026-06-30,000651.SZ,格力电器,4.51000000
2026-06-30,000895.SZ,双汇发展,3.43800000
2026-06-30,000333.SZ,美的集团,3.19100000
2026-06-30,600023.SH,浙能电力,3.14800000
2026-06-30,601668.SH,中国建筑,3.02400000
2026-06-30,601006.SH,大秦铁路,2.84300000
2026-06-30,001965.SZ,招商公路,2.71200000
2026-06-30,600941.SH,中国移动,2.64300000
2026-06-30,600019.SH,宝钢股份,2.60500000
2026-06-30,600690.SH,海尔智家,2.55500000
2026-06-30,600795.SH,国电电力,2.44500000
2026-06-30,000858.SZ,五粮液,2.40200000
2026-06-30,601186.SH,中国铁建,2.38900000
2026-06-30,600886.SH,国投电力,2.26700000
2026-06-30,601728.SH,中国电信,2.24200000
2026-06-30,600900.SH,长江电力,2.22300000
2026-06-30,600018.SH,上港集团,2.15600000
2026-06-30,600027.SH,华电国际,2.08900000
2026-06-30,688009.SH,中国通号,1.94200000
2026-06-30,000999.SZ,华润三九,1.92900000
2026-06-30,601766.SH,中国中车,1.92800000
2026-06-30,000538.SZ,云南白药,1.89100000
2026-06-30,601018.SH,宁波港,1.85900000
2026-06-30,600050.SH,中国联通,1.82800000
2026-06-30,600519.SH,贵州茅台,1.82300000
2026-06-30,601800.SH,中国交建,1.79500000
2026-06-30,600674.SH,川投能源,1.77400000
2026-06-30,601229.SH,上海银行,1.76800000
2026-06-30,600919.SH,江苏银行,1.72600000
2026-06-30,601838.SH,成都银行,1.71500000
2026-06-30,600015.SH,华夏银行,1.70300000
2026-06-30,000001.SZ,平安银行,1.63800000
2026-06-30,601169.SH,北京银行,1.62500000
2026-06-30,601166.SH,兴业银行,1.60800000
2026-06-30,601998.SH,中信银行,1.52400000
2026-06-30,601328.SH,交通银行,1.51900000
2026-06-30,600036.SH,招商银行,1.51200000
2026-06-30,601009.SH,南京银行,1.50800000
2026-06-30,003816.SZ,中国广核,1.48900000
2026-06-30,601939.SH,建设银行,1.47800000
2026-06-30,601818.SH,光大银行,1.47300000
2026-06-30,601658.SH,邮储银行,1.44500000
2026-06-30,601398.SH,工商银行,1.44400000
2026-06-30,601607.SH,上海医药,1.42800000
2026-06-30,601816.SH,京沪高铁,1.38300000
2026-06-30,601988.SH,中国银行,1.38000000
2026-06-30,601916.SH,浙商银行,1.37000000
2026-06-30,600016.SH,民生银行,1.36300000
2026-06-30,600926.SH,杭州银行,1.25500000
2026-06-30,600999.SH,招商证券,0.99600000
