日期,成分股代码,成分股名称,权重(%)
2026-06-30,688521.SH,芯原股份,8.40400000
2026-06-30,300223.SZ,北京君正,8.04300000
2026-06-30,002475.SZ,立讯精密,5.13400000
2026-06-30,603501.SH,豪威集团,4.97200000
2026-06-30,002230.SZ,科大讯飞,4.46500000
2026-06-30,002594.SZ,比亚迪,4.21500000
2026-06-30,601127.SH,赛力斯,4.05200000
2026-06-30,601689.SH,拓普集团,3.99600000
2026-06-30,000625.SZ,长安汽车,3.97000000
2026-06-30,002456.SZ,欧菲光,3.54400000
2026-06-30,688213.SH,思特威,3.36400000
2026-06-30,300088.SZ,长信科技,3.23200000
2026-06-30,600741.SH,华域汽车,2.72900000
2026-06-30,002920.SZ,德赛西威,2.71300000
2026-06-30,300496.SZ,中科创达,2.54600000
2026-06-30,600699.SH,均胜电子,2.35500000
2026-06-30,300679.SZ,电连技术,1.99000000
2026-06-30,300627.SZ,华测导航,1.75800000
2026-06-30,603596.SH,伯特利,1.74100000
2026-06-30,002405.SZ,四维图新,1.71100000
2026-06-30,603236.SH,移远通信,1.61000000
2026-06-30,002151.SZ,北斗星通,1.53800000
2026-06-30,300790.SZ,宇瞳光学,1.52300000
2026-06-30,601799.SH,星宇股份,1.44400000
2026-06-30,300843.SZ,胜蓝股份,1.42700000
2026-06-30,300613.SZ,富瀚微,1.24800000
2026-06-30,000901.SZ,航天科技,1.10900000
2026-06-30,300304.SZ,云意电气,1.04900000
2026-06-30,688088.SH,虹软科技,0.95500000
2026-06-30,300638.SZ,广和通,0.94700000
2026-06-30,002036.SZ,联创电子,0.89300000
2026-06-30,300098.SZ,高新兴,0.89000000
2026-06-30,002373.SZ,千方科技,0.88600000
2026-06-30,600718.SH,东软集团,0.77300000
2026-06-30,002906.SZ,华阳集团,0.73100000
2026-06-30,603297.SH,永新光学,0.72700000
2026-06-30,688787.SH,海天瑞声,0.63300000
2026-06-30,002703.SZ,浙江世宝,0.57700000
2026-06-30,603786.SH,科博达,0.55300000
2026-06-30,002970.SZ,锐明技术,0.54500000
2026-06-30,002881.SZ,美格智能,0.53200000
2026-06-30,688326.SH,经纬恒润,0.47400000
2026-06-30,002284.SZ,亚太股份,0.47000000
2026-06-30,603197.SH,保隆科技,0.46700000
2026-06-30,300590.SZ,移为通信,0.44400000
2026-06-30,301488.SZ,豪恩汽电,0.43000000
2026-06-30,002765.SZ,蓝黛科技,0.35400000
2026-06-30,002870.SZ,香山股份,0.34100000
2026-06-30,300552.SZ,万集科技,0.32600000
2026-06-30,605333.SH,沪光股份,0.26500000
2026-06-30,301221.SZ,光庭信息,0.21300000
2026-06-30,002766.SZ,索菱股份,0.20300000
2026-06-30,600081.SH,东风科技,0.16800000
2026-06-30,603390.SH,通达电气,0.16400000
2026-06-30,300978.SZ,东箭科技,0.15300000
