日期,成分股代码,成分股名称,权重(%)
2026-06-30,601229.SH,上海银行,2.76300000
2026-06-30,601009.SH,南京银行,2.63400000
2026-06-30,600750.SH,华润江中,2.62500000
2026-06-30,000001.SZ,平安银行,2.60400000
2026-06-30,601838.SH,成都银行,2.53500000
2026-06-30,000651.SZ,格力电器,2.43100000
2026-06-30,601369.SH,陕鼓动力,2.39200000
2026-06-30,600919.SH,江苏银行,2.38800000
2026-06-30,600350.SH,山东高速,2.34800000
2026-06-30,601825.SH,沪农商行,2.31400000
2026-06-30,601857.SH,中国石油,2.22700000
2026-06-30,600016.SH,民生银行,2.20700000
2026-06-30,601577.SH,长沙银行,2.19300000
2026-06-30,600007.SH,中国国贸,2.18200000
2026-06-30,600015.SH,华夏银行,2.16100000
2026-06-30,000429.SZ,粤高速A,2.14200000
2026-06-30,600502.SH,安徽建工,2.10100000
2026-06-30,601077.SH,渝农商行,2.09400000
2026-06-30,601187.SH,厦门银行,2.06500000
2026-06-30,002839.SZ,张家港行,2.02500000
2026-06-30,601169.SH,北京银行,2.02400000
2026-06-30,601963.SH,重庆银行,2.00800000
2026-06-30,601988.SH,中国银行,1.96500000
2026-06-30,600566.SH,济川药业,1.93100000
2026-06-30,600820.SH,隧道股份,1.93000000
2026-06-30,601998.SH,中信银行,1.91900000
2026-06-30,601939.SH,建设银行,1.91100000
2026-06-30,600863.SH,华能蒙电,1.90200000
2026-06-30,600938.SH,中国海油,1.88800000
2026-06-30,601665.SH,齐鲁银行,1.88400000
2026-06-30,002233.SZ,塔牌集团,1.87000000
2026-06-30,600737.SH,中粮糖业,1.85100000
2026-06-30,600036.SH,招商银行,1.83400000
2026-06-30,601398.SH,工商银行,1.81900000
2026-06-30,002966.SZ,苏州银行,1.80700000
2026-06-30,600461.SH,洪城环境,1.79500000
2026-06-30,601328.SH,交通银行,1.79500000
2026-06-30,601928.SH,凤凰传媒,1.78700000
2026-06-30,000333.SZ,美的集团,1.78400000
2026-06-30,601658.SH,邮储银行,1.77400000
2026-06-30,002807.SZ,江阴银行,1.71500000
2026-06-30,600803.SH,新奥股份,1.69600000
2026-06-30,002469.SZ,三维化学,1.68700000
2026-06-30,601668.SH,中国建筑,1.66500000
2026-06-30,000708.SZ,中信特钢,1.65300000
2026-06-30,601318.SH,中国平安,1.59200000
2026-06-30,600757.SH,长江传媒,1.57500000
2026-06-30,601288.SH,农业银行,1.53100000
2026-06-30,600941.SH,中国移动,1.50700000
2026-06-30,600873.SH,梅花生物,1.46800000
