日期,成分股代码,成分股名称,权重(%)
2026-06-30,300308.SZ,中际旭创,10.79000000
2026-06-30,300750.SZ,宁德时代,9.81200000
2026-06-30,600519.SH,贵州茅台,7.02000000
2026-06-30,601318.SH,中国平安,4.82200000
2026-06-30,600036.SH,招商银行,4.16300000
2026-06-30,601899.SH,紫金矿业,3.92600000
2026-06-30,002371.SZ,北方华创,3.62900000
2026-06-30,000333.SZ,美的集团,3.48000000
2026-06-30,002475.SZ,立讯精密,3.40200000
2026-06-30,600900.SH,长江电力,3.06800000
2026-06-30,688981.SH,中芯国际,3.06600000
2026-06-30,000725.SZ,京东方A,2.98900000
2026-06-30,603259.SH,药明康德,2.91800000
2026-06-30,600030.SH,中信证券,2.65700000
2026-06-30,600276.SH,恒瑞医药,2.20200000
2026-06-30,300274.SZ,阳光电源,2.18600000
2026-06-30,002594.SZ,比亚迪,2.05200000
2026-06-30,300476.SZ,胜宏科技,2.00500000
2026-06-30,000988.SZ,华工科技,1.75900000
2026-06-30,603993.SH,洛阳钼业,1.45200000
2026-06-30,600150.SH,中国船舶,1.44600000
2026-06-30,600887.SH,伊利股份,1.43600000
2026-06-30,601816.SH,京沪高铁,1.26000000
2026-06-30,600309.SH,万华化学,1.21700000
2026-06-30,300124.SZ,汇川技术,1.19100000
2026-06-30,600111.SH,北方稀土,1.15200000
2026-06-30,601857.SH,中国石油,1.06500000
2026-06-30,601088.SH,中国神华,1.01600000
2026-06-30,600031.SH,三一重工,0.97100000
2026-06-30,000792.SZ,盐湖股份,0.90800000
2026-06-30,002714.SZ,牧原股份,0.90500000
2026-06-30,600406.SH,国电南瑞,0.86900000
2026-06-30,601668.SH,中国建筑,0.85000000
2026-06-30,002602.SZ,世纪华通,0.78800000
2026-06-30,300760.SZ,迈瑞医疗,0.78000000
2026-06-30,600660.SH,福耀玻璃,0.76600000
2026-06-30,002230.SZ,科大讯飞,0.74400000
2026-06-30,600941.SH,中国移动,0.73700000
2026-06-30,601888.SH,中国中免,0.49700000
2026-06-30,002625.SZ,光启技术,0.49500000
2026-06-30,600893.SH,航发动力,0.48400000
2026-06-30,002027.SZ,分众传媒,0.46400000
2026-06-30,600019.SH,宝钢股份,0.44800000
2026-06-30,600585.SH,海螺水泥,0.38500000
2026-06-30,300015.SZ,爱尔眼科,0.36500000
2026-06-30,605499.SH,东鹏饮料,0.31600000
2026-06-30,600048.SH,保利发展,0.31500000
2026-06-30,600436.SH,片仔癀,0.31200000
2026-06-30,600415.SH,小商品城,0.26400000
2026-06-30,000617.SZ,中油资本,0.15800000
