日期,成分股代码,成分股名称,权重(%)
2026-06-30,601668.SH,中国建筑,3.45500000
2026-06-30,601169.SH,北京银行,3.10200000
2026-06-30,000915.SZ,华特达因,3.03100000
2026-06-30,002032.SZ,苏泊尔,3.01900000
2026-06-30,000651.SZ,格力电器,2.97800000
2026-06-30,600642.SH,申能股份,2.95600000
2026-06-30,000429.SZ,粤高速A,2.89100000
2026-06-30,000333.SZ,美的集团,2.63800000
2026-06-30,600461.SH,洪城环境,2.61500000
2026-06-30,600582.SH,天地科技,2.60400000
2026-06-30,600015.SH,华夏银行,2.56600000
2026-06-30,000921.SZ,海信家电,2.52800000
2026-06-30,601838.SH,成都银行,2.47900000
2026-06-30,601997.SH,贵阳银行,2.45600000
2026-06-30,300406.SZ,九强生物,2.36400000
2026-06-30,600863.SH,华能蒙电,2.35800000
2026-06-30,600398.SH,海澜之家,2.28500000
2026-06-30,000848.SZ,承德露露,2.23800000
2026-06-30,600566.SH,济川药业,2.23400000
2026-06-30,600285.SH,羚锐制药,2.22300000
2026-06-30,603167.SH,渤海轮渡,2.20200000
2026-06-30,600757.SH,长江传媒,2.12400000
2026-06-30,002884.SZ,凌霄泵业,2.06000000
2026-06-30,600039.SH,四川路桥,2.01400000
2026-06-30,600741.SH,华域汽车,1.95300000
2026-06-30,603855.SH,华荣股份,1.88300000
2026-06-30,603886.SH,元祖股份,1.83100000
2026-06-30,600694.SH,大商股份,1.81000000
2026-06-30,002572.SZ,索菲亚,1.79000000
2026-06-30,600153.SH,建发股份,1.75600000
2026-06-30,000719.SZ,中原传媒,1.68200000
2026-06-30,601107.SH,四川成渝,1.68100000
2026-06-30,600329.SH,达仁堂,1.67900000
2026-06-30,601216.SH,君正集团,1.66900000
2026-06-30,000543.SZ,皖能电力,1.63900000
2026-06-30,600210.SH,紫江企业,1.62900000
2026-06-30,600970.SH,中材国际,1.56400000
2026-06-30,601717.SH,中创智领,1.51700000
2026-06-30,600066.SH,宇通客车,1.44300000
2026-06-30,600803.SH,新奥股份,1.40900000
2026-06-30,002004.SZ,华邦健康,1.39000000
2026-06-30,002867.SZ,周大生,1.38700000
2026-06-30,600809.SH,山西汾酒,1.34700000
2026-06-30,600496.SH,精工钢构,1.29300000
2026-06-30,603816.SH,顾家家居,1.29000000
2026-06-30,603165.SH,荣晟环保,1.22500000
2026-06-30,603967.SH,中创物流,1.11500000
2026-06-30,605338.SH,巴比食品,1.02300000
2026-06-30,002582.SZ,好想你,0.86300000
2026-06-30,601566.SH,九牧王,0.71300000
