日期,成分股代码,成分股名称,权重(%)
2026-06-30,603259.SH,药明康德,12.24700000
2026-06-30,600276.SH,恒瑞医药,10.69600000
2026-06-30,300760.SZ,迈瑞医疗,8.98500000
2026-06-30,688271.SH,联影医疗,6.32800000
2026-06-30,002001.SZ,新和成,5.52100000
2026-06-30,000538.SZ,云南白药,5.34200000
2026-06-30,300015.SZ,爱尔眼科,4.86900000
2026-06-30,300759.SZ,康龙化成,3.78200000
2026-06-30,688578.SH,艾力斯,3.72700000
2026-06-30,688301.SH,奕瑞科技,3.24800000
2026-06-30,000963.SZ,华东医药,3.11700000
2026-06-30,688331.SH,荣昌生物,2.93000000
2026-06-30,002653.SZ,海思科,2.81800000
2026-06-30,000423.SZ,东阿阿胶,2.58500000
2026-06-30,603087.SH,甘李药业,2.57200000
2026-06-30,002294.SZ,信立泰,2.24700000
2026-06-30,300832.SZ,新产业,2.08600000
2026-06-30,688617.SH,惠泰医疗,1.94900000
2026-06-30,000999.SZ,华润三九,1.89300000
2026-06-30,688131.SH,皓元医药,1.77600000
2026-06-30,300896.SZ,爱美客,1.66800000
2026-06-30,002262.SZ,恩华药业,1.44500000
2026-06-30,000534.SZ,万泽股份,1.41000000
2026-06-30,300573.SZ,兴齐眼药,1.28900000
2026-06-30,688336.SH,三生国健,1.20300000
2026-06-30,688278.SH,特宝生物,1.12300000
2026-06-30,688029.SH,南微医学,1.02300000
2026-06-30,002773.SZ,康弘药业,0.95300000
2026-06-30,920982.BJ,锦波生物,0.73300000
2026-06-30,002901.SZ,大博医疗,0.43700000
