日期,成分股代码,成分股名称,权重(%)
2026-06-30,601919.SH,中远海控,4.85800000
2026-06-30,603565.SH,中谷物流,3.40000000
2026-06-30,601699.SH,潞安环能,3.31900000
2026-06-30,600188.SH,兖矿能源,3.30600000
2026-06-30,600256.SH,广汇能源,3.23500000
2026-06-30,600546.SH,山煤国际,2.97100000
2026-06-30,600985.SH,淮北矿业,2.72600000
2026-06-30,601666.SH,平煤股份,2.49300000
2026-06-30,601225.SH,陕西煤业,2.42900000
2026-06-30,601168.SH,西部矿业,2.41200000
2026-06-30,600177.SH,雅戈尔,2.38500000
2026-06-30,600295.SH,鄂尔多斯,2.33000000
2026-06-30,601001.SH,晋控煤业,2.32200000
2026-06-30,600350.SH,山东高速,2.15700000
2026-06-30,600919.SH,江苏银行,2.12100000
2026-06-30,601838.SH,成都银行,2.07600000
2026-06-30,601857.SH,中国石油,1.93400000
2026-06-30,600153.SH,建发股份,1.93100000
2026-06-30,600015.SH,华夏银行,1.91600000
2026-06-30,601077.SH,渝农商行,1.91500000
2026-06-30,600398.SH,海澜之家,1.90800000
2026-06-30,601000.SH,唐山港,1.87800000
2026-06-30,601229.SH,上海银行,1.87300000
2026-06-30,600901.SH,江苏金租,1.85100000
2026-06-30,601088.SH,中国神华,1.83600000
2026-06-30,600039.SH,四川路桥,1.83100000
2026-06-30,601939.SH,建设银行,1.82400000
2026-06-30,601988.SH,中国银行,1.81200000
2026-06-30,601169.SH,北京银行,1.79000000
2026-06-30,600096.SH,云天化,1.78500000
2026-06-30,600938.SH,中国海油,1.76000000
2026-06-30,600755.SH,厦门国贸,1.74800000
2026-06-30,601916.SH,浙商银行,1.71200000
2026-06-30,600282.SH,南钢股份,1.67100000
2026-06-30,601328.SH,交通银行,1.66800000
2026-06-30,601166.SH,兴业银行,1.66300000
2026-06-30,601398.SH,工商银行,1.66200000
2026-06-30,601009.SH,南京银行,1.63700000
2026-06-30,601998.SH,中信银行,1.63600000
2026-06-30,601006.SH,大秦铁路,1.56400000
2026-06-30,601818.SH,光大银行,1.53700000
2026-06-30,600737.SH,中粮糖业,1.50100000
2026-06-30,601825.SH,沪农商行,1.46800000
2026-06-30,601288.SH,农业银行,1.43700000
2026-06-30,600028.SH,中国石化,1.42600000
2026-06-30,601339.SH,百隆东方,1.34500000
2026-06-30,601717.SH,中创智领,1.12200000
2026-06-30,600971.SH,恒源煤电,1.10500000
2026-06-30,600123.SH,兰花科创,0.88900000
2026-06-30,600997.SH,开滦股份,0.82600000
