日期,成分股代码,成分股名称,权重(%)
2026-06-30,600309.SH,万华化学,9.28000000
2026-06-30,601857.SH,中国石油,8.12100000
2026-06-30,000792.SZ,盐湖股份,6.92300000
2026-06-30,600160.SH,巨化股份,5.16800000
2026-06-30,600028.SH,中国石化,4.69400000
2026-06-30,600938.SH,中国海油,4.69000000
2026-06-30,002407.SZ,多氟多,4.31900000
2026-06-30,000408.SZ,藏格矿业,3.92700000
2026-06-30,600989.SH,宝丰能源,3.23000000
2026-06-30,605589.SH,圣泉集团,3.10900000
2026-06-30,002648.SZ,卫星化学,2.85800000
2026-06-30,600141.SH,兴发集团,2.85400000
2026-06-30,600378.SH,昊华科技,2.80900000
2026-06-30,600346.SH,恒力石化,2.70100000
2026-06-30,600426.SH,华鲁恒升,2.55800000
2026-06-30,600143.SH,金发科技,2.38600000
2026-06-30,002493.SZ,荣盛石化,2.32700000
2026-06-30,600352.SH,浙江龙盛,2.27600000
2026-06-30,601233.SH,桐昆股份,2.23200000
2026-06-30,000301.SZ,东方盛虹,2.18700000
2026-06-30,000703.SZ,恒逸石化,1.87200000
2026-06-30,603650.SH,彤程新材,1.74400000
2026-06-30,603379.SH,三美股份,1.67300000
2026-06-30,000893.SZ,亚钾国际,1.63700000
2026-06-30,002064.SZ,华峰化学,1.36100000
2026-06-30,688065.SH,凯赛生物,1.24600000
2026-06-30,300699.SZ,光威复材,1.20400000
2026-06-30,603225.SH,新凤鸣,1.19000000
2026-06-30,002430.SZ,杭氧股份,1.09400000
2026-06-30,300487.SZ,蓝晓科技,1.08200000
2026-06-30,603077.SH,和邦生物,1.03600000
2026-06-30,000830.SZ,鲁西化工,0.99000000
2026-06-30,002683.SZ,广东宏大,0.96400000
2026-06-30,600486.SH,扬农化工,0.88800000
2026-06-30,688295.SH,中复神鹰,0.78700000
2026-06-30,002312.SZ,川发龙蟒,0.75000000
2026-06-30,003022.SZ,联泓新科,0.74900000
2026-06-30,603737.SH,三棵树,0.61600000
2026-06-30,600688.SH,上海石化,0.46500000
