日期,成分股代码,成分股名称,权重(%)
2026-06-30,600887.SH,伊利股份,14.99700000
2026-06-30,600519.SH,贵州茅台,14.90500000
2026-06-30,000858.SZ,五粮液,14.31100000
2026-06-30,000568.SZ,泸州老窖,5.68500000
2026-06-30,603288.SH,海天味业,5.51200000
2026-06-30,600809.SH,山西汾酒,5.31800000
2026-06-30,605499.SH,东鹏饮料,3.32600000
2026-06-30,603156.SH,养元饮品,2.46500000
2026-06-30,002304.SZ,洋河股份,2.29100000
2026-06-30,600298.SH,安琪酵母,2.19100000
2026-06-30,600186.SH,莲花控股,2.00100000
2026-06-30,600600.SH,青岛啤酒,1.84500000
2026-06-30,603369.SH,今世缘,1.76700000
2026-06-30,600873.SH,梅花生物,1.43800000
2026-06-30,000729.SZ,燕京啤酒,1.42200000
2026-06-30,000596.SZ,古井贡酒,1.30000000
2026-06-30,300765.SZ,石药创新,1.14300000
2026-06-30,600872.SH,中炬高新,1.07100000
2026-06-30,600132.SH,重庆啤酒,0.99600000
2026-06-30,000799.SZ,酒鬼酒,0.99000000
2026-06-30,300146.SZ,汤臣倍健,0.91400000
2026-06-30,002568.SZ,百润股份,0.87800000
2026-06-30,002507.SZ,涪陵榨菜,0.86900000
2026-06-30,600702.SH,舍得酒业,0.82500000
2026-06-30,600559.SH,老白干酒,0.81700000
2026-06-30,603589.SH,口子窖,0.77900000
2026-06-30,603198.SH,迎驾贡酒,0.70800000
2026-06-30,002597.SZ,金禾实业,0.66600000
2026-06-30,600779.SH,水井坊,0.55100000
2026-06-30,605016.SH,百龙创园,0.54100000
2026-06-30,000860.SZ,顺鑫农业,0.50700000
2026-06-30,002847.SZ,盐津铺子,0.48500000
2026-06-30,600059.SH,古越龙山,0.46500000
2026-06-30,603027.SH,千禾味业,0.46300000
2026-06-30,000848.SZ,承德露露,0.45100000
2026-06-30,600866.SH,星湖科技,0.43600000
2026-06-30,600597.SH,光明乳业,0.41700000
2026-06-30,603317.SH,天味食品,0.41400000
2026-06-30,600882.SH,妙可蓝多,0.40600000
2026-06-30,002216.SZ,三全食品,0.40400000
2026-06-30,002626.SZ,金达威,0.40100000
2026-06-30,002946.SZ,新乳业,0.36200000
2026-06-30,601579.SH,会稽山,0.35100000
2026-06-30,605198.SH,安德利,0.34200000
2026-06-30,002461.SZ,珠江啤酒,0.33400000
2026-06-30,600299.SH,安迪苏,0.31300000
2026-06-30,603919.SH,金徽酒,0.30400000
2026-06-30,600929.SH,雪天盐业,0.29700000
2026-06-30,300997.SZ,欢乐家,0.17600000
2026-06-30,605179.SH,一鸣食品,0.15100000
