日期,成分股代码,成分股名称,权重(%)
2026-06-30,600519.SH,贵州茅台,15.39000000
2026-06-30,000858.SZ,五粮液,15.17400000
2026-06-30,000568.SZ,泸州老窖,12.87900000
2026-06-30,600809.SH,山西汾酒,12.04900000
2026-06-30,002304.SZ,洋河股份,5.19000000
2026-06-30,600600.SH,青岛啤酒,4.65100000
2026-06-30,603369.SH,今世缘,4.45500000
2026-06-30,000729.SZ,燕京啤酒,3.58600000
2026-06-30,000596.SZ,古井贡酒,3.27600000
2026-06-30,600132.SH,重庆啤酒,2.51000000
2026-06-30,000799.SZ,酒鬼酒,2.49600000
2026-06-30,002568.SZ,百润股份,2.21300000
2026-06-30,600702.SH,舍得酒业,2.08000000
2026-06-30,600559.SH,老白干酒,2.05900000
2026-06-30,603589.SH,口子窖,1.96400000
2026-06-30,603198.SH,迎驾贡酒,1.78400000
2026-06-30,600779.SH,水井坊,1.38800000
2026-06-30,000860.SZ,顺鑫农业,1.27800000
2026-06-30,600059.SH,古越龙山,1.17300000
2026-06-30,601579.SH,会稽山,0.88500000
2026-06-30,002461.SZ,珠江啤酒,0.84200000
2026-06-30,600199.SH,金种子酒,0.80800000
2026-06-30,603919.SH,金徽酒,0.76700000
2026-06-30,001338.SZ,永顺泰,0.52900000
2026-06-30,000995.SZ,皇台酒业,0.29600000
2026-06-30,600573.SH,惠泉啤酒,0.27900000
