日期,成分股代码,成分股名称,权重(%)
2026-06-30,300308.SZ,中际旭创,14.54680000
2026-06-30,300750.SZ,宁德时代,13.56650000
2026-06-30,300502.SZ,新易盛,10.00210000
2026-06-30,300059.SZ,东方财富,3.45530000
2026-06-30,300274.SZ,阳光电源,3.10630000
2026-06-30,300476.SZ,胜宏科技,2.79180000
2026-06-30,300408.SZ,三环集团,2.75750000
2026-06-30,300394.SZ,天孚通信,2.49330000
2026-06-30,301308.SZ,江波龙,2.17600000
2026-06-30,300604.SZ,长川科技,2.04830000
2026-06-30,300124.SZ,汇川技术,1.75890000
2026-06-30,300857.SZ,协创数据,1.42490000
2026-06-30,300433.SZ,蓝思科技,1.37420000
2026-06-30,300475.SZ,香农芯创,1.32990000
2026-06-30,300136.SZ,信维通信,1.26180000
2026-06-30,300014.SZ,亿纬锂能,1.22670000
2026-06-30,300223.SZ,北京君正,1.17010000
2026-06-30,300285.SZ,国瓷材料,1.14780000
2026-06-30,300760.SZ,迈瑞医疗,1.08840000
2026-06-30,300666.SZ,江丰电子,1.00410000
2026-06-30,300054.SZ,鼎龙股份,0.96690000
2026-06-30,300033.SZ,同花顺,0.90900000
2026-06-30,300498.SZ,温氏股份,0.90300000
2026-06-30,300757.SZ,罗博特科,0.85010000
2026-06-30,300548.SZ,长芯博创,0.84070000
2026-06-30,300567.SZ,精测电子,0.81020000
2026-06-30,300661.SZ,圣邦股份,0.78470000
2026-06-30,300442.SZ,润泽科技,0.75880000
2026-06-30,300395.SZ,菲利华,0.75280000
2026-06-30,300346.SZ,南大光电,0.71550000
2026-06-30,300390.SZ,天华新能,0.70290000
2026-06-30,301526.SZ,国际复材,0.68320000
2026-06-30,300058.SZ,蓝色光标,0.65290000
2026-06-30,300620.SZ,光库科技,0.64950000
2026-06-30,300672.SZ,国科微,0.60260000
2026-06-30,300373.SZ,扬杰科技,0.59740000
2026-06-30,300037.SZ,新宙邦,0.59330000
2026-06-30,300450.SZ,先导智能,0.58870000
2026-06-30,300751.SZ,迈为股份,0.58010000
2026-06-30,301217.SZ,铜冠铜箔,0.51570000
2026-06-30,300782.SZ,卓胜微,0.49990000
2026-06-30,300316.SZ,晶盛机电,0.48650000
2026-06-30,300015.SZ,爱尔眼科,0.48580000
2026-06-30,301377.SZ,鼎泰高科,0.47930000
2026-06-30,300418.SZ,昆仑万维,0.46960000
2026-06-30,300803.SZ,指南针,0.45670000
2026-06-30,301358.SZ,湖南裕能,0.44560000
2026-06-30,300339.SZ,润和软件,0.38670000
2026-06-30,300017.SZ,网宿科技,0.37490000
2026-06-30,300759.SZ,康龙化成,0.37400000
2026-06-30,300458.SZ,全志科技,0.37210000
2026-06-30,300001.SZ,特锐德,0.36040000
2026-06-30,301611.SZ,珂玛科技,0.35360000
2026-06-30,301236.SZ,软通动力,0.35150000
2026-06-30,300115.SZ,长盈精密,0.34810000
2026-06-30,300207.SZ,欣旺达,0.33970000
2026-06-30,300347.SZ,泰格医药,0.33340000
2026-06-30,301200.SZ,大族数控,0.32540000
2026-06-30,301269.SZ,华大九天,0.32290000
2026-06-30,300454.SZ,深信服,0.31540000
2026-06-30,300024.SZ,机器人,0.30880000
2026-06-30,300866.SZ,安克创新,0.30500000
2026-06-30,301536.SZ,星宸科技,0.30030000
2026-06-30,300496.SZ,中科创达,0.28570000
2026-06-30,300432.SZ,富临精工,0.27820000
2026-06-30,300748.SZ,金力永磁,0.27580000
2026-06-30,300474.SZ,景嘉微,0.27340000
2026-06-30,300763.SZ,锦浪科技,0.26330000
2026-06-30,300012.SZ,华测检测,0.25550000
2026-06-30,300073.SZ,当升科技,0.25460000
2026-06-30,300724.SZ,捷佳伟创,0.25280000
2026-06-30,300919.SZ,中伟新材,0.24260000
2026-06-30,300953.SZ,震裕科技,0.23950000
2026-06-30,300383.SZ,光环新网,0.23480000
2026-06-30,300677.SZ,英科医疗,0.21790000
2026-06-30,300972.SZ,万辰集团,0.21590000
2026-06-30,302132.SZ,中航成飞,0.21340000
2026-06-30,300628.SZ,亿联网络,0.21140000
2026-06-30,300251.SZ,光线传媒,0.20450000
2026-06-30,300255.SZ,常山药业,0.20350000
2026-06-30,300699.SZ,光威复材,0.20340000
2026-06-30,300487.SZ,蓝晓科技,0.20200000
2026-06-30,300832.SZ,新产业,0.19780000
2026-06-30,300002.SZ,神州泰岳,0.19370000
2026-06-30,300627.SZ,华测导航,0.18900000
2026-06-30,300003.SZ,乐普医疗,0.18480000
2026-06-30,301550.SZ,斯菱智驱,0.18000000
2026-06-30,300122.SZ,智飞生物,0.17350000
2026-06-30,300999.SZ,金龙鱼,0.17220000
2026-06-30,300253.SZ,卫宁健康,0.15660000
2026-06-30,300896.SZ,爱美客,0.15490000
2026-06-30,301165.SZ,锐捷网络,0.14670000
2026-06-30,300765.SZ,石药创新,0.13220000
2026-06-30,300144.SZ,宋城演艺,0.12270000
2026-06-30,300413.SZ,芒果超媒,0.11910000
2026-06-30,300718.SZ,长盛轴承,0.10770000
2026-06-30,300979.SZ,华利集团,0.07350000
2026-06-30,301301.SZ,川宁生物,0.06720000
2026-06-30,300888.SZ,稳健医疗,0.06630000
2026-06-30,301498.SZ,乖宝宠物,0.04970000
