日期,成分股代码,成分股名称,权重(%)
2026-06-30,300274.SZ,阳光电源,15.33020000
2026-06-30,300750.SZ,宁德时代,14.15210000
2026-06-30,300124.SZ,汇川技术,9.34550000
2026-06-30,300014.SZ,亿纬锂能,6.51780000
2026-06-30,300757.SZ,罗博特科,4.51660000
2026-06-30,300037.SZ,新宙邦,3.15240000
2026-06-30,300450.SZ,先导智能,3.12790000
2026-06-30,300751.SZ,迈为股份,3.08250000
2026-06-30,301511.SZ,德福科技,3.02050000
2026-06-30,301217.SZ,铜冠铜箔,2.74030000
2026-06-30,300316.SZ,晶盛机电,2.58470000
2026-06-30,300776.SZ,帝尔激光,2.21640000
2026-06-30,300438.SZ,鹏辉能源,2.07020000
2026-06-30,300001.SZ,特锐德,1.91490000
2026-06-30,300207.SZ,欣旺达,1.80480000
2026-06-30,300568.SZ,星源材质,1.59380000
2026-06-30,300432.SZ,富临精工,1.47840000
2026-06-30,300748.SZ,金力永磁,1.46520000
2026-06-30,300763.SZ,锦浪科技,1.39880000
2026-06-30,300073.SZ,当升科技,1.35300000
2026-06-30,300724.SZ,捷佳伟创,1.34320000
2026-06-30,300919.SZ,中伟新材,1.28900000
2026-06-30,300077.SZ,国民技术,1.28700000
2026-06-30,300953.SZ,震裕科技,1.27260000
2026-06-30,300602.SZ,飞荣达,1.10090000
2026-06-30,300409.SZ,道氏技术,0.96540000
2026-06-30,300693.SZ,盛弘股份,0.90140000
2026-06-30,300842.SZ,帝科股份,0.73610000
2026-06-30,300827.SZ,上能电气,0.69630000
2026-06-30,300035.SZ,中科电气,0.57670000
2026-06-30,300457.SZ,赢合科技,0.56510000
2026-06-30,300850.SZ,新强联,0.54320000
2026-06-30,300224.SZ,正海磁材,0.53750000
2026-06-30,301292.SZ,海科新源,0.49160000
2026-06-30,300820.SZ,英杰电气,0.49150000
2026-06-30,300681.SZ,英搏尔,0.45400000
2026-06-30,300129.SZ,泰胜风能,0.42310000
2026-06-30,300376.SZ,易事特,0.41720000
2026-06-30,301413.SZ,安培龙,0.39240000
2026-06-30,300772.SZ,运达股份,0.37190000
2026-06-30,300072.SZ,海新能科,0.35900000
2026-06-30,300443.SZ,金雷股份,0.33960000
2026-06-30,301155.SZ,海力风电,0.27620000
2026-06-30,301656.SZ,联合动力,0.25430000
2026-06-30,300351.SZ,永贵电器,0.23090000
2026-06-30,300127.SZ,银河磁体,0.21650000
2026-06-30,301109.SZ,军信股份,0.20270000
2026-06-30,301327.SZ,华宝新能,0.17350000
2026-06-30,301325.SZ,曼恩斯特,0.14460000
2026-06-30,301658.SZ,首航新能,0.08060000
