日期,成分股代码,成分股名称,权重(%)
2026-06-30,600900.SH,长江电力,10.76000000
2026-06-30,601985.SH,中国核电,8.14700000
2026-06-30,600905.SH,三峡能源,5.81500000
2026-06-30,600795.SH,国电电力,4.56700000
2026-06-30,600157.SH,永泰能源,3.85200000
2026-06-30,600011.SH,华能国际,3.66100000
2026-06-30,600886.SH,国投电力,3.50500000
2026-06-30,003816.SZ,中国广核,3.37300000
2026-06-30,600674.SH,川投能源,3.03000000
2026-06-30,601991.SH,大唐发电,2.88700000
2026-06-30,600021.SH,上海电力,2.33100000
2026-06-30,600023.SH,浙能电力,2.32000000
2026-06-30,600027.SH,华电国际,1.93100000
2026-06-30,600642.SH,申能股份,1.87400000
2026-06-30,600025.SH,华能水电,1.81600000
2026-06-30,600930.SH,华电新能,1.74600000
2026-06-30,002015.SZ,协鑫能科,1.74300000
2026-06-30,000958.SZ,电投产融,1.69900000
2026-06-30,000155.SZ,川能动力,1.69800000
2026-06-30,601016.SH,节能风电,1.67100000
2026-06-30,600863.SH,华能蒙电,1.61500000
2026-06-30,000875.SZ,电投绿能,1.43400000
2026-06-30,600578.SH,京能电力,1.42100000
2026-06-30,601778.SH,晶科科技,1.40400000
2026-06-30,000591.SZ,太阳能,1.37900000
2026-06-30,600995.SH,南网储能,1.29300000
2026-06-30,600483.SH,福能股份,1.24300000
2026-06-30,000690.SZ,宝新能源,1.12100000
2026-06-30,001896.SZ,豫能控股,1.11200000
2026-06-30,600821.SH,金开新能,1.07900000
2026-06-30,600236.SH,桂冠电力,1.06300000
2026-06-30,000883.SZ,湖北能源,1.00600000
2026-06-30,000027.SZ,深圳能源,0.97000000
2026-06-30,600452.SH,涪陵电力,0.94300000
2026-06-30,000543.SZ,皖能电力,0.94100000
2026-06-30,000767.SZ,晋控电力,0.90500000
2026-06-30,600509.SH,天富能源,0.89100000
2026-06-30,001286.SZ,陕西能源,0.83400000
2026-06-30,000791.SZ,甘肃能源,0.81100000
2026-06-30,600744.SH,华银电力,0.71600000
2026-06-30,000600.SZ,建投能源,0.69200000
2026-06-30,601619.SH,嘉泽新能,0.68700000
2026-06-30,600098.SH,广州发展,0.68200000
2026-06-30,000539.SZ,粤电力A,0.66500000
2026-06-30,000537.SZ,绿发电力,0.65900000
2026-06-30,600292.SH,电投水电,0.63600000
2026-06-30,002039.SZ,黔源电力,0.61800000
2026-06-30,000966.SZ,长源电力,0.59900000
2026-06-30,002608.SZ,江苏国信,0.57200000
2026-06-30,600032.SH,浙江新能,0.55800000
2026-06-30,600575.SH,淮河能源,0.50100000
2026-06-30,600163.SH,中闽能源,0.43000000
2026-06-30,600979.SH,广安爱众,0.37900000
2026-06-30,600310.SH,广西能源,0.33900000
2026-06-30,000899.SZ,赣能股份,0.31000000
2026-06-30,600644.SH,乐山电力,0.30100000
2026-06-30,001258.SZ,立新能源,0.28300000
2026-06-30,603693.SH,江苏新能,0.24600000
2026-06-30,600956.SH,新天绿能,0.23600000
