日期,成分股代码,成分股名称,权重(%)
2026-06-30,688411.SH,海博思创,6.78100000
2026-06-30,688147.SH,微导纳米,6.39800000
2026-06-30,688388.SH,嘉元科技,6.17700000
2026-06-30,688503.SH,聚和材料,5.46600000
2026-06-30,688599.SH,天合光能,4.22200000
2026-06-30,688223.SH,晶科能源,4.15100000
2026-06-30,688390.SH,固德威,3.92700000
2026-06-30,688392.SH,骄成超声,3.91500000
2026-06-30,688559.SH,海目星,3.53800000
2026-06-30,688472.SH,阿特斯,3.35400000
2026-06-30,688005.SH,容百科技,3.25700000
2026-06-30,688116.SH,天奈科技,2.97800000
2026-06-30,688275.SH,万润新能,2.39500000
2026-06-30,688303.SH,大全能源,2.38600000
2026-06-30,688778.SH,厦钨新能,2.33600000
2026-06-30,688516.SH,奥特维,2.31000000
2026-06-30,688726.SH,拉普拉斯,2.27800000
2026-06-30,688518.SH,联赢激光,2.24400000
2026-06-30,688598.SH,金博股份,2.18300000
2026-06-30,688779.SH,五矿新能,1.99700000
2026-06-30,688353.SH,华盛锂电,1.96900000
2026-06-30,688717.SH,艾罗能源,1.96700000
2026-06-30,688063.SH,派能科技,1.94600000
2026-06-30,688556.SH,高测股份,1.87700000
2026-06-30,688006.SH,杭可科技,1.87700000
2026-06-30,688567.SH,孚能科技,1.63800000
2026-06-30,688349.SH,三一重能,1.54400000
2026-06-30,688733.SH,壹石通,1.40600000
2026-06-30,688035.SH,德邦科技,1.38900000
2026-06-30,688499.SH,利元亨,1.32000000
2026-06-30,688155.SH,先惠技术,1.08800000
2026-06-30,688226.SH,威腾电气,1.07200000
2026-06-30,688660.SH,电气风电,0.97800000
2026-06-30,688707.SH,振华新材,0.97300000
2026-06-30,688408.SH,中信博,0.89900000
2026-06-30,688032.SH,禾迈股份,0.89200000
2026-06-30,688339.SH,亿华通,0.77900000
2026-06-30,688148.SH,芳源股份,0.74500000
2026-06-30,688186.SH,广大特材,0.72300000
2026-06-30,688680.SH,海优新材,0.61000000
2026-06-30,688348.SH,昱能科技,0.46200000
2026-06-30,688345.SH,博力威,0.37800000
2026-06-30,688560.SH,明冠新材,0.35500000
2026-06-30,688529.SH,豪森智能,0.33800000
2026-06-30,688429.SH,时创能源,0.26000000
2026-06-30,688573.SH,信宇人,0.22100000
