日期,成分股代码,成分股名称,权重(%)
2026-06-30,300502.SZ,新易盛,15.71500000
2026-06-30,300308.SZ,中际旭创,14.72200000
2026-06-30,300394.SZ,天孚通信,8.83600000
2026-06-30,002281.SZ,光迅科技,5.54700000
2026-06-30,000063.SZ,中兴通讯,5.20200000
2026-06-30,600105.SH,永鼎股份,3.52000000
2026-06-30,603083.SH,剑桥科技,3.13300000
2026-06-30,601869.SH,长飞光纤,2.96800000
2026-06-30,000938.SZ,紫光股份,2.94500000
2026-06-30,300548.SZ,长芯博创,2.92300000
2026-06-30,600498.SH,烽火通信,2.67500000
2026-06-30,688313.SH,仕佳光子,2.60600000
2026-06-30,300620.SZ,光库科技,2.52200000
2026-06-30,600879.SH,航天电子,2.50600000
2026-06-30,600118.SH,中国卫星,2.16400000
2026-06-30,300570.SZ,太辰光,1.74900000
2026-06-30,003031.SZ,中瓷电子,1.45100000
2026-06-30,688668.SH,鼎通科技,1.39100000
2026-06-30,688027.SH,国盾量子,1.38700000
2026-06-30,688387.SH,信科移动,1.21000000
2026-06-30,002465.SZ,海格通信,1.13100000
2026-06-30,688205.SH,德科立,1.03500000
2026-06-30,301205.SZ,联特科技,0.96900000
2026-06-30,002025.SZ,航天电器,0.92900000
2026-06-30,688375.SH,国博电子,0.83200000
2026-06-30,300628.SZ,亿联网络,0.76400000
2026-06-30,300627.SZ,华测导航,0.70300000
2026-06-30,603236.SH,移远通信,0.64400000
2026-06-30,300353.SZ,东土科技,0.57000000
2026-06-30,600435.SH,北方导航,0.52900000
2026-06-30,002396.SZ,星网锐捷,0.52000000
2026-06-30,301165.SZ,锐捷网络,0.48000000
2026-06-30,002929.SZ,润建股份,0.42400000
2026-06-30,301275.SZ,汉朔科技,0.42300000
2026-06-30,300045.SZ,华力创通,0.40800000
2026-06-30,002544.SZ,普天科技,0.38700000
2026-06-30,300638.SZ,广和通,0.37900000
2026-06-30,002583.SZ,海能达,0.37400000
2026-06-30,002338.SZ,奥普光电,0.36700000
2026-06-30,000801.SZ,四川九洲,0.35200000
2026-06-30,300455.SZ,航天智装,0.34500000
2026-06-30,002104.SZ,恒宝股份,0.32600000
2026-06-30,688523.SH,航天环宇,0.28500000
2026-06-30,600776.SH,东方通信,0.28000000
2026-06-30,301050.SZ,雷电微力,0.25800000
2026-06-30,301678.SZ,新恒汇,0.25300000
2026-06-30,002017.SZ,东信和平,0.22700000
2026-06-30,300913.SZ,兆龙互连,0.22000000
2026-06-30,002881.SZ,美格智能,0.21300000
2026-06-30,688100.SH,威胜信息,0.20100000
