trade_date,top5_pct,total_amount,top5_amount,stock_count
2026-03-06,40.61704019783923,2199567663100.0,893399281900.0,5166
2026-03-09,41.063341966578236,2646858076200.0,1086888383200.0,5169
2026-03-10,42.008177504820935,2397344352500.0,1007080671000.0,5167
2026-03-11,42.266424521422444,2507835887000.0,1059972562300.0,5170
2026-03-12,41.43993504078865,2441362397900.0,1011698991800.0,5170
2026-03-13,40.89337241219585,2399662135000.0,981302773500.0,5169
2026-03-16,41.63874189066716,2324824079800.0,968027498000.0,5168
2026-03-17,41.26677337180844,2207460010000.0,910947519600.0,5166
2026-03-18,42.68204895288461,2045687068500.0,873141156000.0,5166
2026-03-19,41.884791860552056,2110441902500.0,883954198200.0,5166
2026-03-20,43.87885074102629,2286087376400.0,1003108867700.0,5167
2026-03-23,39.35476289771957,2430780034900.0,956627719300.0,5169
2026-03-24,41.141583616037444,2082428924700.0,856744237300.0,5167
2026-03-25,43.362308021826436,2179102380400.0,944909086300.0,5168
2026-03-26,42.88704900872587,1943150625100.0,833359960900.0,5167
2026-03-27,41.841256065434436,1852657958900.0,775175360600.0,5162
2026-03-30,40.69440999670035,1915250397200.0,779399849100.0,5159
2026-03-31,42.08417415209684,1992045667500.0,838335967900.0,5163
2026-04-01,42.05987133304445,2011884270400.0,846195935500.0,5166
2026-04-02,40.652096823855594,1842520834400.0,749023353600.0,5166
2026-04-03,41.793062834615924,1656049579900.0,692113841500.0,5167
2026-04-07,42.495140760192434,1613964541900.0,685856503900.0,5166
2026-04-08,42.587605066126166,2433829097200.0,1036509523900.0,5171
2026-04-09,43.865684713428685,2133631187600.0,935931929700.0,5172
2026-04-10,45.75079246100023,2322303368200.0,1062472194300.0,5175
2026-04-13,44.94736794009027,2149834467700.0,966294008300.0,5174
2026-04-14,45.47600411054474,2383262027300.0,1083812337500.0,5177
2026-04-15,44.57379676598214,2414719441000.0,1076332136100.0,5175
2026-04-16,43.94006078605304,2340889577300.0,1028588303200.0,5178
2026-04-17,44.521731325246265,2424890877700.0,1079603401500.0,5178
2026-04-20,44.48703840378411,2578216868000.0,1146972328200.0,5173
2026-04-21,44.27301119321129,2408063244100.0,1066122109600.0,5178
2026-04-22,45.21731440024103,2559206347500.0,1157204380300.0,5177
2026-04-23,45.441671654174534,2804063916700.0,1274213518000.0,5175
2026-04-24,46.97895401678431,2641185723200.0,1240801426400.0,5175
2026-04-27,44.96361320463276,2588861496300.0,1164045669600.0,5173
2026-04-28,42.65762321357972,2535771227300.0,1081699735700.0,5168
2026-04-29,43.769170543739264,2589776993300.0,1133523908900.0,5143
2026-04-30,44.300839729826606,2740575226800.0,1214097838900.0,5149
2026-05-06,44.76293548715995,3226459725400.0,1444258085400.0,5180
2026-05-07,44.63973813739992,3143614764900.0,1403301399100.0,5182
2026-05-08,43.701229262181315,3048331395000.0,1332158291600.0,5180
2026-05-11,43.97427503905811,3538609998500.0,1556078093300.0,5180
2026-05-12,44.287647999601866,3242389778100.0,1435978171700.0,5179
2026-05-13,44.73255855793734,3239703721000.0,1449202364100.0,5183
2026-05-14,44.94246542583643,3361921858500.0,1510930568900.0,5183
2026-05-15,45.08844584415383,3344257419100.0,1507873695300.0,5184
2026-05-18,43.79633249018423,2893603969200.0,1267292415300.0,5187
2026-05-19,44.15824364083648,2886287648500.0,1274533932000.0,5181
2026-05-20,44.538908415964094,2953407538000.0,1315415478500.0,5185
2026-05-21,44.06966645149992,3481221149900.0,1534162549200.0,5188
2026-05-22,45.61959881635568,2903041114700.0,1324355710000.0,5190
2026-05-25,46.7348163225432,3205443048200.0,1498057920900.0,5190
2026-05-26,47.613199907946324,3243406433900.0,1544289589200.0,5190
2026-05-27,48.504289359788274,3238212468900.0,1570671946000.0,5190
2026-05-28,47.890211506999115,2967877586200.0,1421322853300.0,5190
2026-05-29,47.54227491269255,3318635280700.0,1577754708500.0,5189
2026-06-01,47.487098971142515,2876977422500.0,1366193116000.0,5187
2026-06-02,48.251539315536576,2792516899800.0,1347432389800.0,5186
2026-06-03,50.77850320212992,3129914364300.0,1589323665700.0,5190
2026-06-04,48.39251446444337,2757331753200.0,1334342167500.0,5190
2026-06-05,49.275305377997235,3068755676500.0,1512138730900.0,5192
2026-06-08,46.780073293080115,2792430413300.0,1306300994000.0,5190
2026-06-09,48.84161171500174,2640038314100.0,1289437262500.0,5191
2026-06-10,47.70131805145177,2618948710500.0,1249273054000.0,5188
2026-06-11,48.186902935817535,2551778101900.0,1229622837100.0,5186
2026-06-12,48.58433679616419,3214737225400.0,1561858760700.0,5187
2026-06-15,47.81287857684516,3030985771900.0,1449201546800.0,5182
2026-06-16,48.734755128184254,3064495831100.0,1493474539200.0,5187
2026-06-17,50.214083435713086,3091487357700.0,1552362041200.0,5183
2026-06-18,50.94024852665092,3309618831400.0,1685928058000.0,5180
2026-06-22,49.80693012382123,3736826294600.0,1861198461400.0,5183
2026-06-23,50.95249770005618,3440462512200.0,1753001582400.0,5187
2026-06-24,50.784165692765136,3284069946900.0,1667787523300.0,5186
2026-06-25,52.22590897527441,3593989987400.0,1876993939400.0,5185
2026-06-26,52.68462458747767,3552060861500.0,1871389930000.0,5186
2026-06-29,51.88329350382585,3517497759400.0,1824993686500.0,5182
2026-06-30,51.349162269966676,3273445395200.0,1680886787800.0,5182
2026-07-01,50.490479554527745,3659702700000.0,1847801443500.0,5185
2026-07-02,49.574172388930535,3450293867300.0,1710454629700.0,5190
2026-07-03,48.975572587051744,3182228583300.0,1558514669700.0,5189
2026-07-06,48.37557340381938,3090893477000.0,1495237442800.0,5190
2026-07-07,49.1481811262513,2580991156400.0,1268510208400.0,5190
2026-07-08,50.680795920457975,2563350223700.0,1299126295600.0,5190
2026-07-09,53.279110282175104,2913532294700.0,1552304084400.0,5190
2026-07-10,52.53222328691021,3388356091800.0,1779978787900.0,5191
2026-07-13,50.31919094088728,2817568561000.0,1417777704100.0,5194
2026-07-14,53.115744620188465,2703778087400.0,1436131864000.0,5196
2026-07-15,50.635728240907305,2570928763000.0,1301808501700.0,5197
2026-07-16,49.72298504693266,2403382931600.0,1195033735700.0,5196
2026-07-17,48.85920341467763,2654743232900.0,1297086396300.0,5195
2026-07-20,48.11385626072635,2701921075200.0,1299998422400.0,5197
2026-07-21,50.03021859903478,2956903458600.0,1479345264100.0,5198
2026-07-22,53.22527281930435,2653166119400.0,1412154905400.0,5198
2026-07-23,51.00499021631525,2194997492700.0,1119558256400.0,5198
2026-07-24,49.85504942253695,1930921627900.0,962661931900.0,5197
2026-07-27,53.29773953679236,2076474850000.0,1106714157100.0,5193
2026-07-28,51.97037152151799,2025614013100.0,1052719128200.0,5194
2026-07-29,50.15995939283887,2296338611200.0,1151842514900.0,5193
2026-07-30,50.80990942798563,2342574872500.0,1190260171000.0,5197
2026-07-31,50.49094677241776,2541755787200.0,1283356561600.0,5197
2026-08-03,47.29908677023255,1997163709500.0,944640195900.0,5197
2026-08-04,49.05020490108063,2213371123300.0,1085663071200.0,5197
2026-08-05,51.59651979331995,2659431973700.0,1372174344700.0,5199
2026-08-06,49.61563016013114,2528606641800.0,1254584119600.0,5200
2026-08-07,50.625401405401206,2664251488100.0,1348788010300.0,5202
2026-08-10,49.55528661755582,2522941762700.0,1250251021700.0,5205
2026-08-11,48.22831107749065,2320839464400.0,1119301676500.0,5205
2026-08-12,47.654415620468946,2152276157300.0,1025654625300.0,5204
2026-08-13,48.5674737549219,2550760279300.0,1238839829200.0,5205
2026-08-14,47.36120053929868,2142724386300.0,1014819993600.0,5205
2026-08-17,49.62041797995408,2387307372700.0,1184591896800.0,5203
2026-08-18,48.02967036499966,2400635812900.0,1153017467600.0,5204
2026-08-19,48.27829750274962,2510868426400.0,1212204528800.0,5204
2026-08-20,46.52158781145418,2079246615400.0,967298540000.0,5204
2026-08-21,47.18635483485395,1879151072600.0,886702893000.0,5205
2026-08-24,47.82383940790098,2007227844700.0,959933421000.0,5207
2026-08-25,44.876307232845505,1831626397500.0,821966289500.0,5208
2026-08-26,44.38504466403643,1808381227000.0,802650815300.0,5209
