trade_date,stock_code,stock_name,amount,rank,share_pct
2026-08-27,688825,长鑫科技,15556950000.0,1,25.105
2026-08-27,688521,芯原股份,4516980000.0,2,7.289
2026-08-27,688981,中芯国际,3527320000.0,3,5.692
2026-08-27,688836,宇树科技-W,2570870000.0,4,4.149
